id,score,bounding_box
0,[0.9198107719421387],"xmin: 0.4176623821258545
ymin: 0.43368345499038696
width: 0.2767999768257141
height: 0.36905425786972046
"
0,[0.9181497097015381],"xmin: 0.4207552671432495
ymin: 0.4397870898246765
width: 0.26678431034088135
height: 0.3557024598121643
"
0,[0.929235577583313],"xmin: 0.4185563921928406
ymin: 0.43530017137527466
width: 0.2651437520980835
height: 0.35351628065109253
"
0,[0.8813128471374512],"xmin: 0.4031304717063904
ymin: 0.43196672201156616
width: 0.2908216714859009
height: 0.38774609565734863
"
0,[0.7831747531890869],"xmin: 0.43206357955932617
ymin: 0.425201952457428
width: 0.27026718854904175
height: 0.36033666133880615
"
0,[0.8663256764411926],"xmin: 0.4289758503437042
ymin: 0.4455931782722473
width: 0.27038225531578064
height: 0.3604976534843445
"
0,[0.8514116406440735],"xmin: 0.4329661726951599
ymin: 0.4576825499534607
width: 0.24165254831314087
height: 0.3222031593322754
"
0,[0.8371879458427429],"xmin: 0.4444102346897125
ymin: 0.4356151819229126
width: 0.25707289576530457
height: 0.3427533507347107
"
0,[0.7401117086410522],"xmin: 0.4369763135910034
ymin: 0.4444180727005005
width: 0.2616766691207886
height: 0.3488873243331909
"
0,[0.790207028388977],"xmin: 0.4290390610694885
ymin: 0.43678051233291626
width: 0.26638907194137573
height: 0.3551735281944275
"
0,[0.8314219117164612],"xmin: 0.43207255005836487
ymin: 0.43144577741622925
width: 0.2470221221446991
height: 0.32936251163482666
"
0,[0.8038221001625061],"xmin: 0.42672160267829895
ymin: 0.42430347204208374
width: 0.2606923282146454
height: 0.34757745265960693
"
0,[0.8455871939659119],"xmin: 0.4147106409072876
ymin: 0.423916220664978
width: 0.2686219811439514
height: 0.3581508994102478
"
0,[0.885864794254303],"xmin: 0.40440264344215393
ymin: 0.420010507106781
width: 0.27260395884513855
height: 0.3634622097015381
"
0,[0.7868554592132568],"xmin: 0.42978179454803467
ymin: 0.4274790287017822
width: 0.24845212697982788
height: 0.3312692642211914
"
0,[0.853721559047699],"xmin: 0.41968271136283875
ymin: 0.42377370595932007
width: 0.2466641366481781
height: 0.3288853168487549
"
0,[0.7671927213668823],"xmin: 0.419284462928772
ymin: 0.39603251218795776
width: 0.2794901728630066
height: 0.3726368546485901
"
0,[0.6876091957092285],"xmin: 0.4514648914337158
ymin: 0.39103567600250244
width: 0.22679466009140015
height: 0.3023928999900818
"
0,[0.7841567397117615],"xmin: 0.40372321009635925
ymin: 0.39723020792007446
width: 0.26068559288978577
height: 0.3475801348686218
"
0,[0.7453445792198181],"xmin: 0.4363260865211487
ymin: 0.4150080680847168
width: 0.23702764511108398
height: 0.3160368800163269
"
0,[0.848114550113678],"xmin: 0.41070079803466797
ymin: 0.4301034212112427
width: 0.2647336721420288
height: 0.35296839475631714
"
0,[0.8274255990982056],"xmin: 0.41295498609542847
ymin: 0.4246214032173157
width: 0.2802841067314148
height: 0.3736991882324219
"
0,[0.6837950348854065],"xmin: 0.46476849913597107
ymin: 0.4285696744918823
width: 0.2202531397342682
height: 0.29367077350616455
"
0,[0.7805317640304565],"xmin: 0.43101567029953003
ymin: 0.42902231216430664
width: 0.2625325322151184
height: 0.35003119707107544
"
0,[0.7381520867347717],"xmin: 0.4416874945163727
ymin: 0.4312015175819397
width: 0.25928112864494324
height: 0.34569382667541504
"
0,[0.8609517812728882],"xmin: 0.4211750328540802
ymin: 0.43863052129745483
width: 0.28888580203056335
height: 0.38515782356262207
"
0,[0.8747237920761108],"xmin: 0.4254832863807678
ymin: 0.43894845247268677
width: 0.2769513726234436
height: 0.36925458908081055
"
0,[0.9043985605239868],"xmin: 0.4571686387062073
ymin: 0.46101266145706177
width: 0.25644242763519287
height: 0.3419133424758911
"
0,[0.8401270508766174],"xmin: 0.3976796567440033
ymin: 0.41458481550216675
width: 0.31406858563423157
height: 0.41872817277908325
"
0,[0.8305039405822754],"xmin: 0.4331057071685791
ymin: 0.43918001651763916
width: 0.2768780589103699
height: 0.369157612323761
"
0,[0.8561897277832031],"xmin: 0.4232279062271118
ymin: 0.43817293643951416
width: 0.29586654901504517
height: 0.394464373588562
"
0,[0.8586356043815613],"xmin: 0.4365079998970032
ymin: 0.4519615173339844
width: 0.28333181142807007
height: 0.37775540351867676
"
0,[0.8666220903396606],"xmin: 0.4151473045349121
ymin: 0.42891407012939453
width: 0.28814274072647095
height: 0.3841745853424072
"
0,[0.8288180232048035],"xmin: 0.39184728264808655
ymin: 0.4109376072883606
width: 0.32478806376457214
height: 0.43301868438720703
"
0,[0.8387019634246826],"xmin: 0.4334685206413269
ymin: 0.44467979669570923
width: 0.28758037090301514
height: 0.3834249973297119
"
0,[0.8841291069984436],"xmin: 0.4330437183380127
ymin: 0.44541579484939575
width: 0.2849702835083008
height: 0.3799394965171814
"
0,[0.8948119878768921],"xmin: 0.44096022844314575
ymin: 0.4420798420906067
width: 0.28304725885391235
height: 0.3773832321166992
"
0,[0.825045108795166],"xmin: 0.43221426010131836
ymin: 0.45308613777160645
width: 0.2787631154060364
height: 0.3716588616371155
"
0,[0.7898366451263428],"xmin: 0.42943912744522095
ymin: 0.44749951362609863
width: 0.3031240701675415
height: 0.4041350483894348
"
0,[0.8666360378265381],"xmin: 0.413719117641449
ymin: 0.42942410707473755
width: 0.29439085721969604
height: 0.39249908924102783
"
0,[0.8818024396896362],"xmin: 0.43818095326423645
ymin: 0.44196873903274536
width: 0.27373144030570984
height: 0.3649638891220093
"
0,[0.8350681066513062],"xmin: 0.43107736110687256
ymin: 0.4406511187553406
width: 0.2877752184867859
height: 0.3836747407913208
"
0,[0.9090579152107239],"xmin: 0.43844422698020935
ymin: 0.4515569806098938
width: 0.2747940123081207
height: 0.36637842655181885
"
0,[0.8827017545700073],"xmin: 0.426964670419693
ymin: 0.44082093238830566
width: 0.27683141827583313
height: 0.3690965175628662
"
0,[0.8615833520889282],"xmin: 0.43441230058670044
ymin: 0.44328004121780396
width: 0.2786734104156494
height: 0.3715468645095825
"
0,[0.8451480865478516],"xmin: 0.43190187215805054
ymin: 0.42362087965011597
width: 0.2540138363838196
height: 0.3386765718460083
"
0,[0.8569479584693909],"xmin: 0.38749170303344727
ymin: 0.43381255865097046
width: 0.30504322052001953
height: 0.40669751167297363
"
0,[0.8438984751701355],"xmin: 0.4058322608470917
ymin: 0.43838900327682495
width: 0.29487261176109314
height: 0.39313745498657227
"
0,[0.826289713382721],"xmin: 0.4296322166919708
ymin: 0.4442787766456604
width: 0.2641460597515106
height: 0.3521847128868103
"
0,[0.8973742723464966],"xmin: 0.4133746922016144
ymin: 0.44727110862731934
width: 0.26872411370277405
height: 0.35828787088394165
"
0,[0.8958901166915894],"xmin: 0.4107326865196228
ymin: 0.4388740658760071
width: 0.2693537473678589
height: 0.3591287136077881
"
0,[0.8866177797317505],"xmin: 0.39656761288642883
ymin: 0.42957812547683716
width: 0.28348198533058167
height: 0.37795937061309814
"
0,[0.8486989140510559],"xmin: 0.4235207438468933
ymin: 0.43279343843460083
width: 0.2718009352684021
height: 0.3623890280723572
"
0,[0.8948646783828735],"xmin: 0.43338558077812195
ymin: 0.4448036551475525
width: 0.24457094073295593
height: 0.32609426975250244
"
0,[0.88753342628479],"xmin: 0.4162614047527313
ymin: 0.4412418603897095
width: 0.2742823660373688
height: 0.3656964898109436
"
0,[0.8005127310752869],"xmin: 0.41464707255363464
ymin: 0.42183971405029297
width: 0.2879337966442108
height: 0.3838942050933838
"
0,[0.871487557888031],"xmin: 0.4193496108055115
ymin: 0.44993865489959717
width: 0.26958876848220825
height: 0.3594399094581604
"
0,[0.895990788936615],"xmin: 0.39897042512893677
ymin: 0.42882853746414185
width: 0.3008715510368347
height: 0.40113991498947144
"
0,[0.9208311438560486],"xmin: 0.4108158051967621
ymin: 0.44278037548065186
width: 0.27288368344306946
height: 0.36383527517318726
"
0,[0.8184729814529419],"xmin: 0.422634482383728
ymin: 0.4575549364089966
width: 0.2747824192047119
height: 0.3663530945777893
"
0,[0.8204179406166077],"xmin: 0.43845227360725403
ymin: 0.4605002999305725
width: 0.26586535573005676
height: 0.35447466373443604
"
0,[0.7729046940803528],"xmin: 0.43046844005584717
ymin: 0.4708002209663391
width: 0.2650885581970215
height: 0.3534376621246338
"
0,[0.887101948261261],"xmin: 0.4450335204601288
ymin: 0.46199774742126465
width: 0.2538435757160187
height: 0.3384575843811035
"
0,[0.8574211597442627],"xmin: 0.41048744320869446
ymin: 0.4674489498138428
width: 0.29987016320228577
height: 0.3997989296913147
"
0,[0.9132815599441528],"xmin: 0.4448690116405487
ymin: 0.4748106598854065
width: 0.24820581078529358
height: 0.330940842628479
"
0,[0.8510054349899292],"xmin: 0.41684088110923767
ymin: 0.44980520009994507
width: 0.2988986074924469
height: 0.3985036611557007
"
0,[0.8508098125457764],"xmin: 0.4384145140647888
ymin: 0.47084397077560425
width: 0.2546883821487427
height: 0.3395843505859375
"
0,[0.8829295635223389],"xmin: 0.4330478310585022
ymin: 0.45005160570144653
width: 0.28462767601013184
height: 0.3794836401939392
"
0,[0.8700233697891235],"xmin: 0.4533172845840454
ymin: 0.47539961338043213
width: 0.2583308815956116
height: 0.344440758228302
"
0,[0.8630428314208984],"xmin: 0.4327755868434906
ymin: 0.4658893942832947
width: 0.27463021874427795
height: 0.36615967750549316
"
0,[0.869709849357605],"xmin: 0.4298981726169586
ymin: 0.4775596261024475
width: 0.28095361590385437
height: 0.3745795488357544
"
0,[0.8766319155693054],"xmin: 0.43927907943725586
ymin: 0.4690052270889282
width: 0.24566274881362915
height: 0.3275499939918518
"
